"role","variable","label","retained","max_abs_correlation","vif_after_screening","note"
"SDM suitability model","temperature_mean","Mean temperature",TRUE,0.918336705987257,1.47945210168464,"retained"
"SDM suitability model","temperature_range","Temperature range",TRUE,0.549026738499309,1.48534502590967,"retained"
"SDM suitability model","salinity_range","Salinity range",TRUE,0.536799655924745,1.44130597776228,"retained"
"SDM suitability model","oxygen_mean","Mean dissolved oxygen",FALSE,0.918336705987257,NA,"removed: VIF > 5"
"SDM suitability model","ph_mean","Mean pH",TRUE,0.536799655924745,1.71919809062227,"retained"
"SDM suitability model","sea_water_speed_mean","Mean current speed",TRUE,0.656947046482694,1.70436637706688,"retained"
"SDM suitability model","sea_water_speed_range","Current speed range",TRUE,0.656947046482694,1.67913107879093,"retained"
"climniche exposure calculation","temperature_mean","Mean temperature",TRUE,0.918336705987257,1.47945210168464,"retained"
"climniche exposure calculation","temperature_range","Temperature range",TRUE,0.549026738499309,1.48534502590967,"retained"
"climniche exposure calculation","salinity_range","Salinity range",TRUE,0.536799655924745,1.44130597776228,"retained"
"climniche exposure calculation","oxygen_mean","Mean dissolved oxygen",FALSE,0.918336705987257,NA,"removed: VIF > 5"
"climniche exposure calculation","ph_mean","Mean pH",TRUE,0.536799655924745,1.71919809062227,"retained"
"climniche exposure calculation","sea_water_speed_mean","Mean current speed",TRUE,0.656947046482694,1.70436637706688,"retained"
"climniche exposure calculation","sea_water_speed_range","Current speed range",TRUE,0.656947046482694,1.67913107879093,"retained"
